True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.875, -11.875, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.875, -11.875, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-8.5, -9.625, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.375, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.75, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.375, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.875, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-8.125, -9.625, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.0, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.5, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (0.125, -13.375, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.5, -11.875, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.125, -11.125, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.375, -11.125, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.25, -12.625, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (0.875, -12.25, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-2.125, -9.625, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-4.75, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.25, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.375, -12.25, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -12.625, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (0.125, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -9.625, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.75, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -11.5, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-0.625, -13.375, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-2.875, -11.125, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (0.125, -11.125, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -10.75, 0.0, NaN)
True: (-6.35, -10.2, 0.0, NaN) - Estimate: (-1.0, -10.75, 0.0, NaN)
