Distance(7.70327852281092), Percent Closer or Equal(61.39)
Distance(9.732055281388408), Percent Closer or Equal(70.26)
Distance(4.664246991744755), Percent Closer or Equal(41.74)
Distance(9.832598842625485), Percent Closer or Equal(70.61)
Distance(5.499354507576322), Percent Closer or Equal(49.04)
Distance(3.390250728191057), Percent Closer or Equal(27.3)
Distance(1.8662529303392938), Percent Closer or Equal(9.3)
Distance(8.878783700485107), Percent Closer or Equal(67.83)
Distance(2.0875344308537764), Percent Closer or Equal(10.61)
Distance(3.509558376776201), Percent Closer or Equal(30.17)
Distance(10.22440218301295), Percent Closer or Equal(72.26)
Distance(2.1900228309312215), Percent Closer or Equal(10.96)
Distance(2.5355867171130235), Percent Closer or Equal(14.87)
Distance(4.439515739357167), Percent Closer or Equal(36.26)
Distance(31.093743743717962), Percent Closer or Equal(97.04)
Distance(5.112973694436537), Percent Closer or Equal(45.65)
Distance(10.445539717984898), Percent Closer or Equal(72.7)
Distance(4.256994244769425), Percent Closer or Equal(35.3)
Distance(30.102333796568), Percent Closer or Equal(95.83)
Distance(7.232240316803639), Percent Closer or Equal(59.3)
Distance(3.690013550110623), Percent Closer or Equal(31.83)
Distance(4.328429276307977), Percent Closer or Equal(35.91)
Distance(6.594884381094182), Percent Closer or Equal(55.83)
Distance(0.4360045871318324), Percent Closer or Equal(0.52)
Distance(14.328729880907101), Percent Closer or Equal(81.13)
Distance(2.1662179022434476), Percent Closer or Equal(10.78)
Distance(24.578871515999268), Percent Closer or Equal(93.3)
Distance(3.8129253861044803), Percent Closer or Equal(33.13)
Distance(10.683295371747427), Percent Closer or Equal(73.13)
Distance(4.463742824133129), Percent Closer or Equal(36.43)
Distance(1.1790250209389115), Percent Closer or Equal(5.57)
Distance(3.210763149159402), Percent Closer or Equal(25.83)
Distance(22.51641179229053), Percent Closer or Equal(89.13)
Distance(6.373774391990981), Percent Closer or Equal(53.57)
Distance(4.76366455578056), Percent Closer or Equal(42.78)
Distance(6.271827883480222), Percent Closer or Equal(52.52)
Distance(5.239274758971895), Percent Closer or Equal(47.83)
Distance(1.7102631376487054), Percent Closer or Equal(9.13)
Distance(7.129607282312258), Percent Closer or Equal(59.04)
Distance(2.2271281956816043), Percent Closer or Equal(11.13)
Distance(6.69585692798166), Percent Closer or Equal(57.3)
Distance(1.6681726529349414), Percent Closer or Equal(8.87)
