424: Distance(6.600946901770987), Percent Closer or Equal(63.3)
425: Distance(6.600946901770987), Percent Closer or Equal(63.3)
426: Distance(6.600946901770987), Percent Closer or Equal(63.3)
427: Distance(6.600946901770987), Percent Closer or Equal(63.3)
428: Distance(6.587639941587579), Percent Closer or Equal(62.78)
429: Distance(6.500538439237168), Percent Closer or Equal(62.7)
430: Distance(6.500538439237168), Percent Closer or Equal(62.7)
431: Distance(6.500538439237168), Percent Closer or Equal(62.7)
432: Distance(6.500538439237168), Percent Closer or Equal(62.7)
433: Distance(6.500538439237168), Percent Closer or Equal(62.7)
434: Distance(6.500538439237168), Percent Closer or Equal(62.7)
435: Distance(6.493843238021686), Percent Closer or Equal(62.17)
436: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
437: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
438: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
439: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
440: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
441: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
442: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
443: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
444: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
445: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
446: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
447: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
448: Distance(6.4436169966874965), Percent Closer or Equal(62.09)
449: Distance(6.393066556825449), Percent Closer or Equal(60.96)
450: Distance(6.393066556825449), Percent Closer or Equal(60.96)
451: Distance(6.309714732061982), Percent Closer or Equal(60.78)
452: Distance(6.307154667518468), Percent Closer or Equal(60.7)
453: Distance(6.239390995922598), Percent Closer or Equal(60.61)
454: Distance(6.239390995922598), Percent Closer or Equal(60.61)
455: Distance(6.239390995922598), Percent Closer or Equal(60.61)
456: Distance(6.239390995922598), Percent Closer or Equal(60.61)
457: Distance(6.239390995922598), Percent Closer or Equal(60.61)
458: Distance(6.239390995922598), Percent Closer or Equal(60.61)
459: Distance(6.063992084427551), Percent Closer or Equal(60.09)
460: Distance(6.063992084427551), Percent Closer or Equal(60.09)
461: Distance(6.063992084427551), Percent Closer or Equal(60.09)
462: Distance(6.063992084427551), Percent Closer or Equal(60.09)
463: Distance(5.946595664748024), Percent Closer or Equal(59.74)
464: Distance(5.946595664748024), Percent Closer or Equal(59.74)
465: Distance(5.946595664748024), Percent Closer or Equal(59.74)
466: Distance(5.943071596405347), Percent Closer or Equal(59.48)
467: Distance(5.81172951882656), Percent Closer or Equal(59.39)
468: Distance(5.682006687782055), Percent Closer or Equal(59.3)
