536: Distance(3.8), Percent Closer(53.39)
537: Distance(3.8), Percent Closer(53.3)
538: Distance(3.77), Percent Closer(53.22)
539: Distance(3.77), Percent Closer(53.13)
540: Distance(3.77), Percent Closer(53.04)
541: Distance(3.77), Percent Closer(52.96)
542: Distance(3.77), Percent Closer(52.87)
543: Distance(3.77), Percent Closer(52.78)
544: Distance(3.76), Percent Closer(52.7)
545: Distance(3.76), Percent Closer(52.61)
546: Distance(3.76), Percent Closer(52.52)
547: Distance(3.74), Percent Closer(52.43)
548: Distance(3.7), Percent Closer(52.35)
549: Distance(3.7), Percent Closer(52.26)
550: Distance(3.69), Percent Closer(52.17)
551: Distance(3.69), Percent Closer(52.09)
552: Distance(3.69), Percent Closer(52.0)
553: Distance(3.69), Percent Closer(51.91)
554: Distance(3.67), Percent Closer(51.83)
555: Distance(3.65), Percent Closer(51.74)
556: Distance(3.65), Percent Closer(51.65)
557: Distance(3.65), Percent Closer(51.57)
558: Distance(3.65), Percent Closer(51.48)
559: Distance(3.61), Percent Closer(51.39)
560: Distance(3.61), Percent Closer(51.3)
561: Distance(3.61), Percent Closer(51.22)
562: Distance(3.61), Percent Closer(51.13)
563: Distance(3.61), Percent Closer(51.04)
564: Distance(3.61), Percent Closer(50.96)
565: Distance(3.61), Percent Closer(50.87)
566: Distance(3.61), Percent Closer(50.78)
567: Distance(3.61), Percent Closer(50.7)
568: Distance(3.58), Percent Closer(50.61)
569: Distance(3.58), Percent Closer(50.52)
570: Distance(3.58), Percent Closer(50.43)
571: Distance(3.58), Percent Closer(50.35)
572: Distance(3.58), Percent Closer(50.26)
573: Distance(3.58), Percent Closer(50.17)
574: Distance(3.58), Percent Closer(50.09)
575: Distance(3.58), Percent Closer(50.0)
576: Distance(3.58), Percent Closer(49.91)
577: Distance(3.58), Percent Closer(49.83)
578: Distance(3.57), Percent Closer(49.74)
579: Distance(3.5), Percent Closer(49.65)
580: Distance(3.5), Percent Closer(49.57)
581: Distance(3.5), Percent Closer(49.48)
582: Distance(3.5), Percent Closer(49.39)
583: Distance(3.5), Percent Closer(49.3)
584: Distance(3.49), Percent Closer(49.22)
